from,to,total_GWh
AL,GR,7575
AL,ME,6642
AL,XK,2842
AM,GE,798
AT,CH,15928
AT,CZ,21592
AT,DE,39083
AT,HU,19267
AT,IT,5421
AT,SI,23701
AZ,GE,4912
BA,HR,13416
BA,ME,13942
BA,RS,4366
BE,DE,20428
BE,FR,54027
BE,GB,24340
BE,LU,3676
BE,NL,29362
BG,GR,9574
BG,MK,4435
BG,RO,17927
BG,RS,7498
BG,TR,5025
BY,LT,3421
BY,UA,0
CH,AT,15928
CH,DE,43480
CH,FR,58839
CH,IT,81680
CZ,AT,21592
CZ,DE,32818
CZ,PL,23457
CZ,SK,37148
DE,AT,39083
DE,BE,20428
DE,CH,43480
DE,CZ,32818
DE,DK,42108
DE,FR,76483
DE,LU,10503
DE,NL,40569
DE,NO,27544
DE,PL,35825
DE,SE,12502
DK,DE,42108
DK,GB,22913
DK,NL,14052
DK,NO,32412
DK,SE,38227
EE,FI,15072
EE,LV,8076
EE,RU,3850
ES,FR,65443
ES,PT,68367
FI,EE,15072
FI,NO,1121
FI,RU,0
FI,SE,36258
FR,BE,54027
FR,CH,58839
FR,DE,76483
FR,ES,65443
FR,GB,78078
FR,IT,77369
GB,BE,24340
GB,DK,22913
GB,FR,78078
GB,IE,10588
GB,NL,19402
GB,NO,37683
GE,AM,798
GE,AZ,4912
GE,RU,4014
GE,TR,6963
GR,AL,7575
GR,BG,9574
GR,IT,12141
GR,MK,10676
GR,TR,3038
HR,BA,13416
HR,HU,18451
HR,RS,7430
HR,SI,19834
HU,AT,19267
HU,HR,18451
HU,RO,11109
HU,RS,5915
HU,SI,6602
HU,SK,45842
HU,UA,8343
IE,GB,10588
IT,AT,5421
IT,CH,81680
IT,FR,77369
IT,GR,12141
IT,ME,12615
IT,MT,3230
IT,SI,21820
LT,BY,3421
LT,LV,6933
LT,PL,9496
LT,RU,375
LT,SE,20730
LU,BE,3676
LU,DE,10503
LV,EE,8076
LV,LT,6933
LV,RU,1948
MD,RO,10164
MD,UA,9944
ME,AL,6642
ME,BA,13942
ME,IT,12615
ME,RS,6054
ME,XK,4380
MK,BG,4435
MK,GR,10676
MK,RS,3368
MK,XK,6305
MT,IT,3230
NL,BE,29362
NL,DE,40569
NL,DK,14052
NL,GB,19402
NL,NO,13170
NO,DE,27544
NO,DK,32412
NO,FI,1121
NO,GB,37683
NO,NL,13170
NO,SE,40220
PL,CZ,23457
PL,DE,35825
PL,LT,9496
PL,SE,11335
PL,SK,16338
PL,UA,3324
PT,ES,68367
RO,BG,17927
RO,HU,11109
RO,MD,10164
RO,RS,5643
RO,UA,9147
RS,BA,4366
RS,BG,7498
RS,HR,7430
RS,HU,5915
RS,ME,6054
RS,MK,3368
RS,RO,5643
RS,XK,4625
RU,EE,3850
RU,FI,0
RU,GE,4014
RU,LT,375
RU,LV,1948
RU,UA,0
SE,DE,12502
SE,DK,38227
SE,FI,36258
SE,LT,20730
SE,NO,40220
SE,PL,11335
SI,AT,23701
SI,HR,19834
SI,HU,6602
SI,IT,21820
SK,CZ,37148
SK,HU,45842
SK,PL,16338
SK,UA,13007
TR,BG,5025
TR,GE,6963
TR,GR,3038
UA,BY,0
UA,HU,8343
UA,MD,9944
UA,PL,3324
UA,RO,9147
UA,RU,0
UA,SK,13007
XK,AL,2842
XK,ME,4380
XK,MK,6305
XK,RS,4625
