country,shapley_value
FR,2530.3359147610313
SE,938.3206026158624
NO,505.18679995135994
ES,197.99460338859302
NL,180.85195465992604
RU,129.6235577212884
CH,96.65737155077568
AT,81.60916274484903
CZ,42.81501861227375
BG,41.468048678395405
BA,30.60013794716457
PL,30.123640993538427
GR,25.36755971595574
SK,20.403095728583725
AZ,17.651181571334703
SI,14.530490042823324
ME,11.13196983859631
AM,0.2421064223148883
BY,-0.582424115318548
MD,-2.1653835863025526
XK,-2.6648747379612447
MK,-3.5050528677807984
AL,-3.9123493995971197
MT,-9.687050347329876
LV,-13.941906244062865
GE,-16.292734003188503
IE,-32.683450574152594
TR,-33.90146912010228
EE,-34.91698899255202
RO,-37.08051940818824
DK,-43.61456850345353
HR,-62.620519250674405
LT,-88.39318685737729
LU,-92.79799036485095
RS,-106.41995509095248
FI,-163.60991534884812
PT,-180.68494256345213
BE,-248.795886143188
HU,-278.0225993607287
UA,-470.1042468341884
DE,-479.6383722757902
GB,-717.5975027798779
IT,-1813.6034611461234
