Paese,Betweenness,Degree,Strength_GWh,Community
UA,0.387624466571835,6,15860,1
PL,0.3499288762446657,6,59675,3
RS,0.3321479374110953,8,18084,1
RO,0.2652916073968706,4,17892,1
LT,0.2524893314366999,5,47248,2
AL,0.2489331436699857,3,10725,1
IT,0.2482219061166429,7,162676,3
FI,0.2411095305832148,4,83678,2
HU,0.2275960170697012,6,69195,1
ME,0.2254623044096728,4,13136,1
NO,0.205547652916074,4,38114,2
AT,0.1955903271692745,6,88529,3
RU,0.1842105263157895,5,2794,2
NL,0.1778093883357041,5,51779,0
CZ,0.1507823613086771,4,31963,3
SK,0.1479374110953058,4,50027,1
LV,0.131578947368421,3,13728,2
EE,0.1102418207681365,3,18769,2
FR,0.1024182076813655,6,38862,0
BY,0.1009957325746799,2,4470,2
DE,0.0768136557610241,8,92492,3
CH,0.0554765291607396,4,107533,3
GR,0.0526315789473684,5,40165,1
GB,0.0526315789473684,4,93988,0
ES,0.0526315789473684,2,63840,0
BE,0.0483641536273115,4,41472,0
SE,0.0355618776671408,6,34149,2
BG,0.0341394025604551,5,7431,1
LU,0.0248933143669985,2,16465,3
HR,0.0056899004267425,4,33732,1
MK,0.0021337126600284,3,16912,1
DK,0.0014224751066856,4,60279,2
TR,0.0,2,7479,1
SI,0.0,3,28212,3
BA,0.0,3,3482,1
PT,0.0,1,25110,0
IE,0.0,1,2973,0
MT,0.0,1,1871,3
MD,0.0,1,2148,1
