,AL,GR,ME,XK,AM,GE,AT,CH,CZ,DE,HU,IT,SI,AZ,BA,HR,RS,BE,FR,GB,LU,NL,BG,MK,RO,TR,BY,LT,UA,PL,SK,DK,NO,SE,EE,FI,LV,RU,ES,PT,IE,MT,MD
AL,0.0,7575.0,6642.0,2842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,7575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9574.0,10676.0,0.0,3038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,6642.0,0.0,0.0,4380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12615.0,0.0,0.0,13942.0,0.0,6054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XK,2842.0,0.0,4380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.0,0.0,0.0,0.0,0.0,0.0,0.0,6305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,0.0,0.0,0.0,0.0,0.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GE,0.0,0.0,0.0,0.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4014.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15928.0,21592.0,39083.0,19267.0,5421.0,23701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,15928.0,0.0,0.0,43480.0,0.0,81680.0,0.0,0.0,0.0,0.0,0.0,0.0,58839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,21592.0,0.0,0.0,32818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23457.0,37148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,39083.0,43480.0,32818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20428.0,76483.0,0.0,10503.0,40569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35825.0,0.0,42108.0,27544.0,12502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,19267.0,0.0,0.0,0.0,0.0,0.0,6602.0,0.0,0.0,18451.0,5915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11109.0,0.0,0.0,0.0,8343.0,0.0,45842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,12141.0,12615.0,0.0,0.0,0.0,5421.0,81680.0,0.0,0.0,0.0,0.0,21820.0,0.0,0.0,0.0,0.0,0.0,77369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3230.0,0.0
SI,0.0,0.0,0.0,0.0,0.0,0.0,23701.0,0.0,0.0,0.0,6602.0,21820.0,0.0,0.0,0.0,19834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0,4912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.0,0.0,13942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13416.0,4366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
