,export_MWh,import_MWh,balance_MWh,betweenness_2019,balance_rank,betweenness_rank
AL,2316,10725,-8409,0.2489331436699857,14.0,6.0
AT,66740,88529,-21789,0.1955903271692745,11.0,12.0
BA,22008,3482,18526,0.0,32.0,36.0
BE,48466,41472,6994,0.0483641536273115,29.0,26.0
BG,29360,7431,21929,0.0341394025604551,34.0,28.0
BY,12066,4470,7596,0.1009957325746799,30.0,20.0
CH,101152,107533,-6381,0.0554765291607396,17.0,22.0
CZ,79381,31963,47418,0.1507823613086771,36.0,15.0
DE,240198,92492,147706,0.0768136557610241,38.0,21.0
DK,33360,60279,-26919,0.0014224751066856,9.0,32.0
EE,11741,18769,-7028,0.1102418207681365,16.0,18.0
ES,32330,63840,-31510,0.0526315789473684,7.0,24.0
FI,12062,83678,-71616,0.2411095305832148,3.0,8.0
FR,250222,38862,211360,0.1024182076813655,39.0,19.0
GB,6260,93988,-87728,0.0526315789473684,2.0,24.0
GR,3981,40165,-36184,0.0526315789473684,6.0,24.0
HR,9593,33732,-24139,0.0056899004267425,10.0,30.0
HU,27482,69195,-41713,0.2275960170697012,4.0,9.0
IE,5095,2973,2122,0.0,27.0,36.0
IT,15348,162676,-147328,0.2482219061166429,1.0,7.0
LT,9296,47248,-37952,0.2524893314366999,5.0,5.0
LU,437,16465,-16028,0.0248933143669985,12.0,29.0
LV,10951,13728,-2777,0.131578947368421,21.0,17.0
MD,40,2148,-2108,0.0,23.0,36.0
ME,9641,13136,-3495,0.2254623044096728,20.0,10.0
MK,10951,16912,-5961,0.0021337126600284,19.0,31.0
MT,17,1871,-1854,0.0,24.0,36.0
NL,68466,51779,16687,0.1778093883357041,31.0,14.0
NO,41078,38114,2964,0.205547652916074,28.0,11.0
PL,28620,59675,-31055,0.3499288762446657,8.0,2.0
PT,13257,25110,-11853,0.0,13.0,36.0
RO,11861,17892,-6031,0.2652916073968706,18.0,4.0
RS,19066,18084,982,0.3321479374110953,25.0,3.0
RU,49893,2794,47099,0.1842105263157895,35.0,13.0
SE,121315,34149,87166,0.0355618776671408,37.0,27.0
SI,25787,28212,-2425,0.0,22.0,36.0
SK,42494,50027,-7533,0.1479374110953058,15.0,16.0
TR,9126,7479,1647,0.0,26.0,36.0
UA,35480,15860,19620,0.387624466571835,33.0,1.0
